codigo_postal,municipio_id,codigo_unidad_poblacional,entidad_singular_nombre,nucleo_nombre
01307,01011,0001701,"Baños de Ebro/Mañueta","Baños de Ebro/Mañueta"
01307,01052,0001701,Samaniego,Samaniego
01307,01057,0001701,"Villabuena de Alava/Eskue","Villabuena de Alava/Eskue"
01308,01019,0001701,Kripan,Kripan
01308,01031,0001701,"Campillar (El)","Redondo (El)"
01308,01032,0001701,Assa,Assa
01308,01032,0002201,Lanciego/Lantziego,Lanciego/Lantziego
01308,01032,0003801,Viñaspre/Binasperi,Viñaspre/Binasperi
01309,01023,0001701,Elvillar/Bilar,Elvillar/Bilar
01309,01031,0004301,Paganos,Paganos
01309,01034,0001701,Leza,Leza
01309,01034,0001799,Leza,*Diseminado*
01309,01041,0001701,Navaridas,Navaridas
01320,01043,0003801,Oyon-Oion,Oyon-Oion
01321,01031,0003802,Laserna,Laserna
01321,01031,0003899,Laserna,*Diseminado*
01322,01039,0001701,"Moreda de Álava/Moreda Ar","Moreda de Álava/Moreda Ar"
01322,01043,0001701,Barriobusto/Gorrebusto,Barriobusto/Gorrebusto
01322,01043,0002201,Labraza,Labraza
01322,01060,0001701,Yecora/Iekora,Yecora/Iekora
01330,01028,0001701,Labastida/Bastida,Lore-Toki
01330,01028,0001702,Labastida/Bastida,"Vista Alegre"
01330,01028,0001703,Labastida/Bastida,Labastida/Bastida
01330,01028,0001799,Labastida/Bastida,*Diseminado*
01340,01022,0001701,Elciego,Elciego
01400,01036,0001701,Laudio/Llodio,Laudio/Llodio
01408,01010,0010801,Luiaondo,Luiaondo
01409,01042,0001701,Irabien,Irabien
01409,01042,0004399,Ugalde,*Diseminado*
01409,01042,0005601,Villachica,Villachica
01409,01042,0007599,Aretxaga,*Diseminado*
01420,01046,0003801,Arbigano,Arbigano
01420,01046,0007501,Basquiñuelas,Basquiñuelas
01420,01046,0008101,Caicedo-Sopeña,Caicedo-Sopeña
01420,01046,0009401,"Castillo Sopeña","Castillo Sopeña"
01420,01046,0011501,Hereña,Hereña
01420,01046,0018901,Paul,Paul
01420,01046,0019201,Pobes,Pobes
01423,01046,0026501,Villambrosa,Villambrosa
01423,01049,0001799,Atiega/Atiaga,*Diseminado*
01423,01055,0003801,Bachicabo,Bachicabo
01423,01055,0004301,Barrio,Barrio
01423,01055,0006901,Bellojin,Bellojin
01423,01055,0011501,Espejo,Espejo
01423,01055,0025201,Tuesta,Tuesta
01423,01055,0027101,Villamaderne,Villamaderne
01423,01055,0027199,Villamaderne,*Diseminado*
01423,01902,0001701,Alcedo,Alcedo
01423,01902,0002201,Bergonda/Bergüenda,Bergonda/Bergüenda
01423,01902,0002299,Bergonda/Bergüenda,*Diseminado*
01423,01902,0005601,Fontecha,Fontecha
01423,01902,0005699,Fontecha,*Diseminado*
01423,01902,0009401,Puentelarrá/Larrazubi,Puentelarrá/Larrazubi
01423,01902,0011501,Sobron,Sobron
01426,01046,0004301,Arreo,Arreo
01426,01046,0023401,Viloria,Viloria
01426,01049,0002201,"Salinas de Añana/Gesaltza","Salinas de Añana/Gesaltza"
01426,01055,0002201,Astúlez/Estuliz,Astúlez/Estuliz
01426,01055,0008101,Caranca,Caranca
01426,01055,0008199,Caranca,*Diseminado*
01426,01055,0009401,Karkamu,Karkamu
01426,01055,0009499,Karkamu,*Diseminado*
01426,01055,0012001,Fresneda,Fresneda
01426,01055,0018901,Nograro,Nograro
01426,01055,0019201,Osma,Osma
01426,01055,0029001,Villanañe,Villanañe
01426,01055,0029099,Villanañe,*Diseminado*
01426,01055,0030401,"Villanueva de Valdegovia","Villanueva de Valdegovia"
01427,01055,0001701,Acebedo,Acebedo
01427,01055,0005601,Basabe,Basabe
01427,01055,0007501,Boveda,Boveda
01427,01055,0010801,Corro,Corro
01427,01055,0010899,Corro,*Diseminado*
01427,01055,0014101,Gurendes,Gurendes
01427,01055,0014199,Gurendes,*Diseminado*
01427,01055,0015401,Lahoz,Lahoz
01427,01055,0016701,Lalastra,Lalastra
01427,01055,0017301,Mioma,Mioma
