codigo_postal,nombre_entidad_singular,municipio_id,nombre
02213,BARRIO DEL SANTUARIO,02077,Villa de Ves
02214,ZULEMA,02007,Alcalá del Júcar
02214,VISO (EL),02013,Balsa de Ves
02215,ALBOREA,02005,Alborea
02215,VILLATOYA,02082,Villatoya
02220,MOTILLEJA,02052,Motilleja
02230,MADRIGUERAS,02045,Madrigueras
02236,VILLALGORDO DEL JUCAR,02078,Villalgordo del Júcar
02240,MAHORA,02046,Mahora
02246,NAVAS DE JORQUERA,02054,Navas de Jorquera
02247,CENIZATE,02026,Cenizate
02248,JORQUERA,02041,Jorquera
02249,BORMATE,02034,Fuentealbilla
02249,MALDONADO,02041,Jorquera
02249,RECUEJA (LA),02066,"Recueja, La"
02250,ABENGIBRE,02001,Abengibre
02251,CAMPOALBILLO,02034,Fuentealbilla
02252,MARIMINGUEZ,02007,Alcalá del Júcar
02253,GOLOSALVO,02036,Golosalvo
02260,FUENTEALBILLA,02034,Fuentealbilla
02270,VILLAMALEA,02079,Villamalea
02300,JARDIN (EL),02008,Alcaraz
02310,VIVEROS,02085,Viveros
02311,POVEDILLA,02062,Povedilla
02312,SOLANILLA,02008,Alcaraz
02313,ZORIO,02059,Peñascosa
02314,HOZ (LA),02008,Alcaraz
02314,PEÑARRUBIA,02047,Masegoso
02314,PESEBRE,02059,Peñascosa
02315,VIANOS,02076,Vianos
02316,SALOBRE,02070,Salobre
02320,BALAZOTE,02012,Balazote
02326,SAN PEDRO,02071,San Pedro
02327,MADROÑO (EL),02065,Pozuelo
02328,SANTA ANA,02003,Albacete
02329,BATAN MAZOS,02022,Casas de Lázaro
02330,JARDIN (EL),02008,Alcaraz
02331,CHOSPES (LOS),02068,Robledo
02332,CUBILLO (EL),02068,Robledo
02340,ROBLEDO,02068,Robledo
02350,VILLAPALACIOS,02080,Villapalacios
02360,BIENSERVIDA,02016,Bienservida
02395,BAHIA DORADA,29051,Estepona
02400,RINCON DEL MORO,02037,Hellín
