codigo_postal,municipio_id
06227,06073
06228,06069
06229,06106
06230,06122
06240,06052
06249,06027
06250,06020
06260,06085
06270,06124
06275,06117
06280,06055
06290,06136
06291,06086
06292,06026
06293,06024
06300,06158
06310,06108
06320,06081
06329,06013
06330,06141
06340,06050
06350,06067
06360,06054
06370,06022
06378,06142
06380,06070
06389,06070
06390,06049
06391,06071
06392,06108
06393,06008
06394,06021
06400,06044
06400,06095
06410,06002
06410,06044
06410,06060
06410,06120
06411,06080
06412,06044
06413,06082
06420,06036
06427,06087
06428,06018
06429,06018
06430,06160
06431,06082
06439,06047
06440,06078
06441,06064
06442,06112
06442,06160
06443,06029
06444,06139
06445,06065
06450,06109
06458,06146
06459,06028
06460,06028
06468,06075
06469,06039
06470,06060
06473,06151
06474,06138
06475,06094
06476,06098
06477,06104
06478,06079
06479,06041
06480,06088
06486,06090
06487,06038
06488,06031
06489,06088
06490,06103
06498,06072
06499,06088
06500,06123
06501,06006
06510,06006
06518,06037
06519,06006
06600,06023
06610,06100
06611,06161
06612,06030
06613,06018
06614,06023
06615,06018
06620,06048
06630,06102
06640,06127
06650,06125
06650,06127
06655,06118
06656,06057
06657,06114
06658,06130
06659,06017
06660,06051
06670,06022
06670,06063
06678,06157
06679,06063
06680,06035
06689,06137
06690,06056
06692,06062
06700,06153
06710,06153
06711,06044
06712,06153
06713,06001
06714,06061
06715,06111
06716,06156
06717,06044
06717,06156
06718,06153
06720,06153
06730,06001
06730,06091
06731,06091
06740,06097
06750,06096
06760,06091
06770,06033
06800,06015
06800,06083
06810,06025
06820,06043
06830,06162
06840,06004
06850,06012
06860,06046
06870,06058
06880,06132
06890,06145
06891,06084
06892,06135
06893,06119
06894,06009
06894,06032
06900,06074
06906,06105
06907,06086
06908,06086
06909,06134
06910,06059
06919,06101
06920,06014
06927,06144
06928,06077
06929,06014
06930,06019
06939,06076
06940,06003
06950,06150
06960,06034
06970,06110
06980,06053
07001,07040
07002,07040
07003,07040
07004,07040
07005,07040
07006,07040
07007,07040
07008,07040
07009,07040
07010,07040
07011,07040
07012,07040
07013,07040
07014,07040
07015,07040
07071,07040
07100,07061
07101,07061
07108,07061
07109,07025
07110,07010
07120,04013
07120,07040
07140,07047
07141,07036
07142,07053
07143,07047
07144,07017
07144,07047
07150,07005
07157,07005
07159,07005
07160,07005
07160,07011
07170,07063
07179,07018
07179,07061
07180,07011
07181,07011
07183,07011
07184,07011
07190,07007
07190,07020
07190,07063
07191,07007
07192,07021
07193,07010
07194,07045
07195,07045
07196,07011
07198,07040
07199,07040
07200,07022
07208,07022
07209,07022
07210,07004
07220,07004
07230,07038
07240,07049
07250,07065
07259,07901
07260,07043
07300,07027
07310,07012
07311,07009
07312,07034
07313,07058
07314,07058
07315,07019
07316,07058
07320,07056
07330,07016
07340,07001
07349,07010
07350,07008
07360,07029
07369,07058
07400,07003
07420,07044
07430,07030
07440,07039
07450,07055
07458,07039
07458,07055
07459,07055
07460,07042
07469,07042
07470,07042
07500,07033
07509,07033
07510,07060
07511,07047
07518,07028
07519,07035
07520,07041
07529,07901
07530,07051
07540,07051
07550,07062
07559,07062
07560,07051
07560,07057
07560,07062
07570,07006
07579,07006
07580,07014
07589,07014
07590,07014
07590,07062
07600,07031
07600,07040
07608,07040
07609,07031
07610,07040
07620,07031
07629,07004
07630,07013
07638,07059
07639,07013
07639,07031
07640,07059
07650,07057
07659,07057
07660,07057
07669,07022
07669,07057
07670,07022
07680,07033
07687,07033
07687,07051
07688,07033
07689,07033
07690,07057
07691,07057
07700,07032
07701,07032
07702,07032
07703,07032
07710,07052
07711,07052
07712,07032
07713,07052
07714,07032
07720,07049
07720,07064
07730,07002
07730,07037
07740,07037
07748,07037
07749,07902
07750,07015
07750,07023
07750,07062
07760,07015
07760,07057
07769,07015
07800,07026
07800,07046
07800,07054
07810,07050
07811,07050
07812,07050
07814,07054
07815,07050
07816,07046
07817,07048
07818,07048
07819,07054
07820,07046
07828,07046
07829,07048
07830,07048
07839,07048
07840,07054
07849,07054
07850,07054
07850,07057
07860,07024
07870,07024
07871,07024
07872,07024
07961,07057
08001,08019
08002,08019
08003,08019
08004,08019
08005,08019
08006,08019
08007,08019
08008,08019
08009,08019
08010,08019
08011,08019
08012,08019
08013,08019
08014,08019
08015,08019
08016,08019
08017,08019
08018,08019
08019,08019
08020,08019
08021,08019
08022,08019
08023,08019
08024,08019
08025,08019
08026,08019
08027,08019
08028,08019
08029,08019
08030,08019
08031,08019
08032,08019
08033,08019
08034,08019
08035,08019
08036,08019
08037,08019
08038,08019
08039,08019
08040,08019
08041,08019
08042,08019
08073,08073
08100,08124
08101,08161
08104,08124
08105,08209
08106,08256
08107,08115
08110,08125
08120,08105
08130,08260
08140,08033
08146,08087
08148,08079
08150,08159
08160,08135
08170,08136
08172,08205
08173,08205
08174,08205
08175,08205
08178,08070
08180,08138
08181,08267
08182,08210
08183,08055
08183,08064
08183,08095
08184,08156
08184,08187
08185,08108
08186,08107
08187,08248
08188,08296
08189,08239
08190,08205
08191,08184
08192,08238
08193,08266
08194,08238
08195,08205
08196,08205
08197,08205
08198,08205
08201,08187
08202,08187
08203,08187
08204,08121
