codigo_postal,municipio_id,nombre_entidad_singular,year
03010,30030,MURCIA,2013
03011,03014,ALICANTE/ALACANT,2013
03012,03014,ALICANTE/ALACANT,2013
03013,03014,ALICANTE/ALACANT,2013
03014,03014,ALICANTE/ALACANT,2013
03015,03014,ALICANTE/ALACANT,2013
03016,03014,ALICANTE/ALACANT,2013
03100,03083,XIXONA,2013
03108,03132,"TORREMANZANAS/TORRE DE LE",2013
03109,03129,TIBI,2013
03110,03090,MUTXAMEL,2013
03111,03046,BUSOT,2013
03112,03014,ALICANTE/ALACANT,2013
03113,03014,"PARTIDA DE VALLONGA",2013
03114,03014,"BACAROT (EL)",2013
03115,03014,"MONNEGRE - CABEÇO D'OR",2013
03130,03121,"SANTA POLA",2013
03138,03014,"ISLA PLANA-NUEVA TABARCA",2013
03139,03065,"ALTET (EL)",2013
03140,03076,"GUARDAMAR DEL SEGURA",2013
03150,03064,DOLORES,2013
03158,03055,CATRAL,2013
03158,03059,"SAN FELIPE NERI",2013
03159,03061,"DAYA NUEVA",2013
03160,03015,ALMORADI,2013
03169,03012,ALGORFA,2013
03170,03113,ROJALES,2013
03177,03062,"DAYA VIEJA",2013
03177,03070,"PALACIOS (LOS)",2013
03177,03118,"SAN FULGENCIO",2013
03178,03034,BENIJOFAR,2013
03179,03015,ALMORADI,2013
03179,03070,"FORMENTERA DEL SEGURA",2013
03180,03133,TORREVIEJA,2013
03181,03133,TORREVIEJA,2013
03182,03133,TORREVIEJA,2013
03183,03133,TORREVIEJA,2013
03184,03133,TORREVIEJA,2013
03185,03133,TORREVIEJA,2013
03186,03133,TORREVIEJA,2013
03187,03903,"MONTESINOS (LOS)",2013
03188,03133,TORREVIEJA,2013
03189,03099,"ORIHUELA COSTA",2013
03190,03902,"PILAR DE LA HORADADA",2013
03191,03099,"ORIHUELA COSTA",2013
03191,03902,"PILAR DE LA HORADADA",2013
03192,03099,"DESAMPARADOS (LOS)",2013
03193,03120,"SAN MIGUEL DE SALINAS",2013
03194,03065,"MARINA (LA)",2013
03195,03065,"ALTET (EL)",2013
03201,03065,ELCHE/ELX,2013
03202,03065,"PLA DE SANT JOSEP",2013
03203,03065,ELCHE/ELX,2013
03204,03065,ELCHE/ELX,2013
03205,03065,CARRUS,2013
03206,03065,ELCHE/ELX,2013
03207,03065,ALTABIX,2013
03208,03065,ELCHE/ELX,2013
03290,03065,ATSAVARES,2013
03291,03065,ALTABIX,2013
03292,03065,"BAYAS (LAS)",2013
03293,03065,ALGOROS,2013
03294,03065,"FOIA (LA)",2013
03295,03065,JUBALCOI,2013
03296,03065,ALGODA-MATOLA,2013
03300,03099,"MEDIA LEGUA",2013
03310,03080,JACARILLA,2013
03310,03099,"CORRENTIAS MEDIAS",2013
03311,03099,"APARECIDA (LA)",2013
03312,03099,"NORIAS (LAS)",2013
03313,03099,HURCHILLO,2013
03314,03099,"SAN BARTOLOME",2013
03315,03099,"ESCORRATEL (EL)",2013
03316,03025,BENFERRI,2013
03316,03099,"PARROQUIA DE LA MATANZA",2013
03317,03049,CALLOSILLA,2013
03320,03065,TORRELLANO,2013
03330,03059,CREVILLENT,2013
03339,03059,"ESTACION (LA)",2013
03340,03005,ALBATERA,2013
03348,03074,"GRANJA DE ROCAMORA",2013
03349,03904,"SAN ISIDRO",2013
03350,03058,"SALAR (EL)",2013
03360,03049,"VEREDA DE LOS CUBOS",2013
03369,03099,"MUDAMIENTO (EL)",2013
03369,03109,RAFAL,2013
03370,03111,REDOVAN,2013
03380,03044,BIGASTRO,2013
03390,03024,BENEJUZAR,2013
03392,33024,"BARRIO VEGA (EL)",2013
03400,03140,VILLENA,2013
03408,03140,"ZAFRA (LA)",2013
03409,03014,"CAÑADA DEL FENOLLAR",2013
03409,03052,CAÑADA,2013
03409,03116,SALINAS,2013
03409,03140,"VIRTUDES (LAS)",2013
03410,03043,BIAR,2013
03420,03053,CASTALLA,2013
03430,03096,ONIL,2013
03440,03079,IBI,2013
03450,03021,"BANYERES DE MARIOLA",2013
03460,03023,BENEIXAMA,2013
03469,03023,"SALSE (EL)",2013
03469,03051,"CAMPO DE MIRRA/CAMP DE MI",2013
03501,03031,BENIDORM,2013
03502,03031,BENIDORM,2013
03503,03031,BENIDORM,2013
03509,03069,FINESTRAT,2013
03510,03048,"CALLOSA D'EN SARRIA",2013
03516,03037,BENIMANTELL,2013
03517,03027,BENIARDA,2013
03517,03033,BENIFATO,2013
03517,03057,CONFRIDES,2013
03517,03075,"CASTELL DE GUADALEST (EL)",2013
03518,03045,BOLULLA,2013
03518,03127,TARBENA,2013
03520,03107,POLOP,2013
03530,03094,"NUCIA (LA)",2013
